단어	私	わたし	나	
단어	学生	がくせい	학생	
단어	会社員	かいしゃいん	회사원	
단어	先生	せんせい	선생님	
단어	韓国人	かんこくじん	한국인	
단어	日本人	にほんじん	일본인	
단어	本	ほん	책	
단어	よろしく	よろしく	잘	
단어	ノート	ノート	노트	
단어	鉛筆	えむぴつ	연필	
단어	かばん	かばん	가방	
단어	これ	これ	이것	
단어	それ	それ	그것	
단어	あれ	あれ	저것	
단어	どれ	どれ	어느것	
단어	パソコン	パソコン	노트북, 컴퓨터	
단어	切符	きっぷ	표	
단어	売り場	うりば	파는 곳, 매장	
단어	通行人	つうこうにん	행인, 지나가는 사람	
단어	店員	てんいん	점원	
단어	~いき	~いき	~행 (도착지)	
단어	すみません	すみません	실례합니다, 저기요	
단어	ください	ください	주세요	
단어	大阪	おおさか	오사카	
단어	ここ	ここ	여기, 이곳	
단어	そこ	そこ	거기, 그곳	
단어	あそこ	あそこ	저기, 저곳	
단어	どこ	どこ	어디, 어느곳	
단어	学校	がっこう	학교	
단어	トイレ	トイレ	화장실	
단어	ジュース	ジュース	주스	
단어	チケット	チケット	티켓	
단어	メニュー	メニュー	메뉴판	
단어	パンや	パンや	빵집	
단어	図書館	としょかん	도서관	
단어	ところ	ところ	곳	
단어	なん	なん	무엇	
단어	部屋	へや	방	
단어	問題	もんだい	문제	
단어	人	ひと	사람	
단어	ビル	ビル	빌딩	
단어	この	この	이	
단어	その	その	그	
단어	あの	あの	저	
단어	どの	どの	어느	
단어	町	まち	마을, 동네, 주택가	
단어	公園	こうえん	공원	
단어	あまり	あまり	그다지 (+부정형)	
단어	東京	とうきょう	도쿄	
단어	カフェ	カフェ	카페	
단어	旅行	りょこう	여행	
단어	夜景	やけい	야경	
단어	仕事	しごと	일 (업무)	
단어	電車	でんしゃ	전철	
단어	どうでしたか	どうでしたか	어땠어요?	
단어	バス	バス	버스	
단어	テスト	テスト	시험, 테스트	
단어	とても	とても	매우	
단어	事務室	じむしつ	사무실	
단어	そと	そと	바깥	
단어	どうぞ	どうぞ	아무쪼록, 부디 (권하는 표현)	
단어	どうも	どうも	정말 (미안합니다/감사합니다)	
단어	コーヒー	コーヒー	커피	
단어	ラーメン	ラーメン	라멘	
단어	映画	えいが	영화	
단어	映画館	えいがかん	영화관	
단어	スマホ	スマホ	스마트폰	
단어	パスポート	パスポート	여권	
단어	駅員	えきいん	역무원	
단어	荷物	にもつ	짐	
단어	お金	おかね	돈	
단어	車	くるま	차, 자동차	
단어	デパート	デパート	백화점	
단어	あります	あります	(사물/식물) 있습니다	
단어	ありません	ありません	(사물/식물) 없습니다	
단어	庭	にわ	정원	
단어	猫	ねこ	고양이	
단어	子供	こども	아이	
단어	教室	きょうしつ	교실	
단어	友達	ともだち	친구	
단어	だれ	だれ	누구, 아무	
단어	~に	~に	~에	
단어	います	います	(동물/사람) 있습니다	
단어	いません	いません	(동물/사람) 없습니다	
단어	なか	なか	안	
단어	財布	さいふ	지갑	
단어	椅子	いす	의자	
단어	家	いえ	집	
단어	だれか	だれか	누군가	
단어	会社	かいしゃ	회사	
단어	会議	かいぎ	회의	
단어	会議室	かいぎしつ	회의실	
단어	知り合い	しりあい	아는 사람, 지인	
단어	机	つくえ	책상	
단어	たくさん	たくさん	많이	
단어	でも	でも	하지만	
단어	まえ	まえ	앞	
단어	うしろ	うしろ	뒤	
단어	となり	となり	옆	
단어	ドア	ドア	문	
단어	スポーツ	スポーツ	스포츠	
단어	ゲーム	ゲーム	게임	
단어	ホラー映画	ホラーえいが	공포영화	
단어	テニス	テニス	테니스	
단어	水泳	すいえい	수영	
단어	甘い物	あまいもの	단 것	
단어	辛い物	からいもの	매운 것	
단어	物	もの	~것, 물건	
단어	冬	ふゆ	겨울	
단어	どんな	どんな	어떤	
단어	日本料理	にほんりょうり	일본요리	
단어	タイプ	タイプ	타입, 스타일	
단어	趣味	しゅみ	취미	
단어	英語	えいご	영어	
단어	中国語	ちゅうごくご	중국어	
단어	日本語	にほんご	일본어	
단어	韓国語	かんこくご	한국어	
단어	歌	うた	노래	
단어	ただ	ただ	그냥, 단지	
단어	車	くるま	차	
단어	家族	かぞく	가족	
단어	父	ちち	아빠	
단어	母	はは	엄마	
단어	弟	おとうと	남동생	
단어	妹	いもうと	여동생	
단어	時間	じかん	시간	
단어	彼氏	かれし	남자친구	
단어	のみもの	のみもの	마실 것	
단어	~人	~にん	~명	
단어	~と	~と	~와, ~랑	
단어	ご飯	ごはん	밥	
단어	服	ふく	옷	
단어	何か	なにか	뭔가	
단어	勉強	べんきょう	공부	
단어	出張	しゅっちょう	출장	
단어	新幹線	しんかんせん	신칸센	
단어	飛行機	ひこうき	비행기	
단어	自転車	じてんしゃ	자전거	
단어	タクシー	タクシー	택시	
단어	長野	ながの	나가노 (지명)	
단어	スーパー	スーパー	슈퍼	
단어	また	また	또	
단어	遅刻	ちこく	지각	
단어	朝	あさ	아침	
단어	昼	ひる	점심, 낮	
단어	夜	よる	저녁, 밤	
단어	午前	ごぜん	오전	
단어	午後	ごご	오후	
단어	休み	やすみ	휴일	
단어	今日	きょう	오늘	
단어	昨日	きのう	어제	
단어	明日	あした	내일	
단어	一昨日	おととい	그저께	
단어	明後日	あさって	내일모레	
단어	何時	なんじ	몇 시	
단어	早く	はやく	빨리, 일찍	
단어	～から	～から	~부터	
단어	～まで	～まで	~까지	
단어	海外旅行	かいがいりょこう	해외여행	
단어	銀行	ぎんこう	은행	
단어	熱	ねつ	열	
단어	提出	ていしゅつ	제출	
단어	連休	れんきゅう	연휴	
